"X","length","width","height","curb.weight","engine.size","horsepower","city.mpg","highway.mpg","price"
70,187.5,70.3,54.9,3495,183,123,22,25,28176
71,202.6,71.7,56.3,3770,183,123,22,25,31600
72,202.6,71.7,56.5,3740,234,155,16,18,34184
73,180.3,70.5,50.8,3685,234,155,16,18,35056
74,208.1,71.7,56.7,3900,308,184,14,16,40960
75,199.2,72,55.4,3715,304,184,14,16,45400
76,178.4,68,54.8,2910,140,175,19,24,16503
77,157.3,64.4,50.8,1918,92,68,37,41,5389
78,157.3,64.4,50.8,1944,92,68,31,38,6189
79,157.3,64.4,50.8,2004,92,68,31,38,6669
80,157.3,63.8,50.8,2145,98,102,24,30,7689
81,173,65.4,49.4,2370,110,116,23,30,9959
82,173,65.4,49.4,2328,122,88,25,32,8499
83,173.2,66.3,50.2,2833,156,145,19,24,12629
84,173.2,66.3,50.2,2921,156,145,19,24,14869
85,173.2,66.3,50.2,2926,156,145,19,24,14489
86,172.4,65.4,51.6,2365,122,88,25,32,6989
87,172.4,65.4,51.6,2405,122,88,25,32,8189
88,172.4,65.4,51.6,2403,110,116,23,30,9279
89,172.4,65.4,51.6,2403,110,116,23,30,9279
90,165.3,63.8,54.5,1889,97,69,31,37,5499
91,165.3,63.8,54.5,2017,103,55,45,50,7099
92,165.3,63.8,54.5,1918,97,69,31,37,6649
93,165.3,63.8,54.5,1938,97,69,31,37,6849
94,170.2,63.8,53.5,2024,97,69,31,37,7349
95,165.3,63.8,54.5,1951,97,69,31,37,7299
96,165.6,63.8,53.3,2028,97,69,31,37,7799
97,165.3,63.8,54.5,1971,97,69,31,37,7499
98,170.2,63.8,53.5,2037,97,69,31,37,7999
99,162.4,63.8,53.3,2008,97,69,31,37,8249
100,173.4,65.2,54.7,2324,120,97,27,34,8949
101,173.4,65.2,54.7,2302,120,97,27,34,9549
102,181.7,66.5,55.1,3095,181,152,17,22,13499
103,184.6,66.5,56.1,3296,181,152,17,22,14399
104,184.6,66.5,55.1,3060,181,152,19,25,13499
105,170.7,67.9,49.7,3071,181,160,19,25,17199
106,170.7,67.9,49.7,3139,181,200,17,23,19699
107,178.5,67.9,49.7,3139,181,160,19,25,18399
108,186.7,68.4,56.7,3020,120,97,19,24,11900
109,186.7,68.4,56.7,3197,152,95,28,33,13200
110,198.9,68.4,58.7,3230,120,97,19,24,12440
111,198.9,68.4,58.7,3430,152,95,25,25,13860
112,186.7,68.4,56.7,3075,120,95,19,24,15580
113,186.7,68.4,56.7,3252,152,95,28,33,16900
114,198.9,68.4,56.7,3285,120,95,19,24,16695
115,198.9,68.4,58.7,3485,152,95,25,25,17075
116,186.7,68.4,56.7,3075,120,97,19,24,16630
117,186.7,68.4,56.7,3252,152,95,28,33,17950
118,186.7,68.3,56,3130,134,142,18,24,18150
119,157.3,63.8,50.8,1918,90,68,37,41,5572
120,157.3,63.8,50.8,2128,98,102,24,30,7957
121,157.3,63.8,50.6,1967,90,68,31,38,6229
122,167.3,63.8,50.8,1989,90,68,31,38,6692
123,167.3,63.8,50.8,2191,98,68,31,38,7609
124,174.6,64.6,59.8,2535,122,88,24,30,8921
125,173.2,66.3,50.2,2818,156,145,19,24,12764
126,168.9,68.3,50.2,2778,151,143,19,27,22018
127,168.9,65,51.6,2756,194,207,17,25,32528
128,168.9,65,51.6,2756,194,207,17,25,34028
129,168.9,65,51.6,2800,194,207,17,25,37028
130,175.7,72.3,50.5,3366,203,288,17,28,NA
131,181.5,66.5,55.2,2579,132,NA,23,31,9295
132,176.8,66.6,50.5,2460,132,NA,23,31,9895
133,186.6,66.5,56.1,2658,121,110,21,28,11850
134,186.6,66.5,56.1,2695,121,110,21,28,12170
135,186.6,66.5,56.1,2707,121,110,21,28,15040
136,186.6,66.5,56.1,2758,121,110,21,28,15510
137,186.6,66.5,56.1,2808,121,160,19,26,18150
138,186.6,66.5,56.1,2847,121,160,19,26,18620
139,156.9,63.4,53.7,2050,97,69,31,36,5118
140,157.9,63.6,53.7,2120,108,73,26,31,7053
141,157.3,63.8,55.7,2240,108,73,26,31,7603
142,172,65.4,52.5,2145,108,82,32,37,7126
143,172,65.4,52.5,2190,108,82,28,33,7775
144,172,65.4,52.5,2340,108,94,26,32,9960
145,172,65.4,54.3,2385,108,82,24,25,9233
146,172,65.4,54.3,2510,108,111,24,29,11259
147,173.5,65.4,53,2290,108,82,28,32,7463
148,173.5,65.4,53,2455,108,94,25,31,10198
149,173.6,65.4,54.9,2420,108,82,23,29,8013
150,173.6,65.4,54.9,2650,108,111,23,23,11694
151,158.7,63.6,54.5,1985,92,62,35,39,5348
152,158.7,63.6,54.5,2040,92,62,31,38,6338
153,158.7,63.6,54.5,2015,92,62,31,38,6488
154,169.7,63.6,59.1,2280,92,62,31,37,6918
155,169.7,63.6,59.1,2290,92,62,27,32,7898
156,169.7,63.6,59.1,3110,92,62,27,32,8778
157,166.3,64.4,53,2081,98,70,30,37,6938
158,166.3,64.4,52.8,2109,98,70,30,37,7198
159,166.3,64.4,53,2275,110,56,34,36,7898
160,166.3,64.4,52.8,2275,110,56,38,47,7788
161,166.3,64.4,53,2094,98,70,38,47,7738
162,166.3,64.4,52.8,2122,98,70,28,34,8358
163,166.3,64.4,52.8,2140,98,70,28,34,9258
164,168.7,64,52.6,2169,98,70,29,34,8058
165,168.7,64,52.6,2204,98,70,29,34,8238
166,168.7,64,52.6,2265,98,112,26,29,9298
167,168.7,64,52.6,2300,98,112,26,29,9538
168,176.2,65.6,52,2540,146,116,24,30,8449
169,176.2,65.6,52,2536,146,116,24,30,9639
170,176.2,65.6,52,2551,146,116,24,30,9989
171,176.2,65.6,52,2679,146,116,24,30,11199
172,176.2,65.6,52,2714,146,116,24,30,11549
173,176.2,65.6,53,2975,146,116,24,30,17669
174,175.6,66.5,54.9,2326,122,92,29,34,8948
175,175.6,66.5,54.9,2480,110,73,30,33,10698
176,175.6,66.5,53.9,2414,122,92,27,32,9988
177,175.6,66.5,54.9,2414,122,92,27,32,10898
178,175.6,66.5,53.9,2458,122,92,27,32,11248
179,183.5,67.7,52,2976,171,161,20,24,16558
180,183.5,67.7,52,3016,171,161,19,24,15998
181,187.8,66.5,54.1,3131,171,156,20,24,15690
182,187.8,66.5,54.1,3151,161,156,19,24,15750
183,171.7,65.5,55.7,2261,97,52,37,46,7775
184,171.7,65.5,55.7,2209,109,85,27,34,7975
185,171.7,65.5,55.7,2264,97,52,37,46,7995
186,171.7,65.5,55.7,2212,109,85,27,34,8195
187,171.7,65.5,55.7,2275,109,85,27,34,8495
188,171.7,65.5,55.7,2319,97,68,37,42,9495
189,171.7,65.5,55.7,2300,109,100,26,32,9995
190,159.3,64.2,55.6,2254,109,90,24,29,11595
191,165.7,64,51.4,2221,109,90,24,29,9980
192,180.2,66.9,55.1,2661,136,110,19,24,13295
193,180.2,66.9,55.1,2579,97,68,33,38,13845
194,183.1,66.9,55.1,2563,109,88,25,31,12290
195,188.8,67.2,56.2,2912,141,114,23,28,12940
196,188.8,67.2,57.5,3034,141,114,23,28,13415
197,188.8,67.2,56.2,2935,141,114,24,28,15985
198,188.8,67.2,57.5,3042,141,114,24,28,16515
199,188.8,67.2,56.2,3045,130,162,17,22,18420
200,188.8,67.2,57.5,3157,130,162,17,22,18950
201,188.8,68.9,55.5,2952,141,114,23,28,16845
202,188.8,68.8,55.5,3049,141,160,19,25,19045
203,188.8,68.9,55.5,3012,173,134,18,23,21485
204,188.8,68.9,55.5,3217,145,106,26,27,22470
205,188.8,68.9,55.5,3062,141,114,19,25,22625
